Alternative,C1_l,C1_m,C1_u,C2_l,C2_m,C2_u,C3_l,C3_m,C3_u,C4_l,C4_m,C4_u,C5_l,C5_m,C5_u,C6_l,C6_m,C6_u
A1,3.3712,3.44,3.5088,2.989,3.05,3.111,12.6518,12.91,13.1682,0.535,0.546,0.5569,0.1274,0.13,0.1326,1.0141,1.0348,1.0555
A2,3.675,3.75,3.825,3.4202,3.49,3.5598,12.5146,12.77,13.0254,0.539,0.55,0.561,0.1372,0.14,0.1428,1.0127,1.0333,1.054
A3,3.7436,3.82,3.8964,3.0674,3.13,3.1926,12.397,12.65,12.903,0.5233,0.534,0.5446,0.1372,0.14,0.1428,1.0123,1.033,1.0537
A4,3.8808,3.96,4.0392,3.1752,3.24,3.3048,12.642,12.9,13.158,0.535,0.546,0.5569,0.147,0.15,0.153,1.0117,1.0323,1.053
A5,3.6064,3.68,3.7536,3.332,3.4,3.468,12.0932,12.34,12.5868,0.5331,0.544,0.5548,0.147,0.15,0.153,1.013,1.0337,1.0543
A6,2.4304,2.48,2.5296,3.185,3.25,3.315,11.7992,12.04,12.2808,0.538,0.549,0.5599,0.147,0.15,0.153,1.0186,1.0394,1.0602
A7,3.5868,3.66,3.7332,3.1948,3.26,3.3252,12.0638,12.31,12.5562,0.5292,0.54,0.5508,0.147,0.15,0.153,1.0131,1.0338,1.0544
A8,3.9396,4.02,4.1004,3.577,3.65,3.723,12.544,12.8,13.056,0.536,0.547,0.5579,0.147,0.15,0.153,1.0068,1.0274,1.0479
A9,3.185,3.25,3.315,3.1262,3.19,3.2538,11.956,12.2,12.444,0.5448,0.556,0.5671,0.147,0.15,0.153,1.015,1.0357,1.0565
A10,2.9008,2.96,3.0192,3.43,3.5,3.57,11.8482,12.09,12.3318,0.5439,0.555,0.5661,0.147,0.15,0.153,1.0164,1.0371,1.0579
A11,2.9988,3.06,3.1212,2.989,3.05,3.111,11.4954,11.73,11.9646,0.5399,0.551,0.562,0.1862,0.19,0.1938,1.0159,1.0367,1.0574
